lon,lat,jobs
4.79509,45.57196,1.6
4.79219,45.60251,175.7
4.79184,45.60610,32.9
4.79150,45.60969,38.8
4.79133,45.61149,4.7
4.78876,45.63845,1.6
4.78619,45.66540,1.5
4.78533,45.67439,8.8
4.78516,45.67618,55.6
4.78499,45.67798,33.7
4.78482,45.67978,46.9
4.78465,45.68157,147.4
4.78396,45.68876,2.9
4.78362,45.69236,1.5
4.78327,45.69595,148.9
4.78310,45.69775,7.3
4.78241,45.70493,81.5
4.78155,45.71392,8.3
4.78121,45.71751,7.3
4.78104,45.71931,3.6
4.78087,45.72111,41.3
4.78069,45.72290,17.4
4.78052,45.72470,2.8
4.78035,45.72650,3.7
4.77983,45.73189,32.3
4.77966,45.73368,74.0
4.77915,45.73907,4.3
4.77897,45.74087,8.1
4.77880,45.74267,9.7
4.77846,45.74626,143.9
4.77811,45.74986,95.0
4.77777,45.75345,15.3
4.77760,45.75525,1.9
4.77742,45.75704,9.0
4.77725,45.75884,557.6
4.77708,45.76064,301.1
4.77691,45.76243,367.6
4.77673,45.76423,98.2
4.77656,45.76603,1.6
4.77639,45.76782,10.4
4.77622,45.76962,89.5
4.77604,45.77142,3.3
4.77587,45.77321,12.5
4.77570,45.77501,127.1
4.77553,45.77681,3.3
4.77535,45.77861,7.6
4.77518,45.78040,20.2
4.77501,45.78220,7.6
4.77484,45.78400,3.3
4.77466,45.78579,46.4
4.77449,45.78759,632.9
4.77432,45.78939,187.7
4.77397,45.79298,4.4
4.77380,45.79478,1.6
4.77346,45.79837,182.2
4.77328,45.80017,85.0
4.77311,45.80196,26.9
4.77294,45.80376,121.4
4.77277,45.80556,44.2
4.77259,45.80735,441.4
4.77242,45.80915,232.4
4.77225,45.81095,62.2
4.77207,45.81274,826.4
4.77190,45.81454,94.3
4.77173,45.81634,244.5
4.77156,45.81813,100.5
4.77138,45.81993,10.0
4.77086,45.82532,12.1
4.77035,45.83071,3.8
4.77017,45.83251,1.3
4.77000,45.83430,25.4
4.76965,45.83790,4.6
4.76931,45.84149,6.3
4.76913,45.84329,7.5
4.76359,45.90078,1.6
